citizen_id,first_name,last_name,gender,birth_date,province,region,total_social_cases,problem_types_list,target_groups_list,channels_used,has_emergency_case,latest_case_date,total_welfare_transactions,total_approved_amount,total_paid_amount,welfare_types_list,latest_payment_date,total_child_grants_managed,total_child_grant_paid,children_count,total_aid_received,is_multi_program_beneficiary
1955805695341,ชไมพร,สุนทรวงศ์,หญิง,1998-05-14,จันทบุรี,ภาคตะวันออก,2,ขาดผู้ดูแล; ว่างงาน,คนไร้ที่พึ่ง,เครือข่ายชุมชน,0,2025-05-14,3,7500.0,2500.0,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,2025-06-02,0,0.0,,2500.0,0
7258690001749,กมลชนก,เกษมสุข,ชาย,1961-05-06,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,1,ปัญหาสุขภาพและการดำรงชีพ,ผู้ประสบปัญหาทางสังคมทั่วไป,หน่วยงานส่งต่อ,0,2023-06-15,0,0.0,0.0,,,1,1800.0,1.0,1800.0,0
5224821529491,วาสนา,ภูมิใจ,ชาย,2003-02-23,พิจิตร,ภาคกลาง,1,ความรุนแรงในครอบครัว,ผู้มีรายได้น้อย,หน่วยงานส่งต่อ,1,2024-05-22,0,0.0,0.0,,,0,0.0,,0.0,0
2696728529820,สายฝน,อ่อนละมุน,หญิง,1960-06-21,อุตรดิตถ์,ภาคเหนือ,2,ประสบเหตุฉุกเฉิน,ผู้สูงอายุ,Walk-in,1,2026-05-18,0,0.0,0.0,,,0,0.0,,0.0,0
4187314354202,กรรณิการ์,ชำนาญกิจ,หญิง,1986-04-06,ลพบุรี,ภาคกลาง,1,รายได้ไม่เพียงพอ,ผู้ประสบปัญหาทางสังคมทั่วไป,สายด่วน พม. 1300,1,2025-06-24,1,18000.0,18000.0,เงินช่วยเหลือด้านที่อยู่อาศัย,2025-07-08,1,600.0,1.0,18600.0,1
6001213402611,ชญานิศ,ประเสริฐศรี,ชาย,2017-04-15,อุตรดิตถ์,ภาคเหนือ,1,ขาดผู้ดูแล,เด็กและเยาวชน,เครือข่ายชุมชน,0,2025-01-18,1,2000.0,2000.0,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,2025-02-02,1,3000.0,1.0,5000.0,1
2284721441643,นันทนา,วงศ์คำ,ชาย,1978-10-27,ปทุมธานี,ภาคกลาง,2,ปัญหาสุขภาพและการดำรงชีพ; หนี้สินครัวเรือน,คนพิการ,หน่วยงานส่งต่อ; เครือข่ายชุมชน,1,2026-03-08,0,0.0,0.0,,,1,1800.0,1.0,1800.0,0
5433990413969,พัชราภา,ร่มเย็น,ชาย,1974-02-04,ลำปาง,ภาคเหนือ,1,รายได้ไม่เพียงพอ,ผู้มีรายได้น้อย,Walk-in,0,2026-02-01,0,0.0,0.0,,,0,0.0,,0.0,0
8240399515252,เมธาวี,พรมศรี,ชาย,2022-05-30,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,2,ความรุนแรงในครอบครัว,เด็กและเยาวชน,สายด่วน พม. 1300; เครือข่ายชุมชน,0,2025-08-25,0,0.0,0.0,,,0,0.0,,0.0,0
1446676889069,ณัฐวุฒิ,สุขเกษม,ชาย,2016-12-06,เชียงราย,ภาคเหนือ,2,ประสบเหตุฉุกเฉิน; ว่างงาน,เด็กและเยาวชน,Walk-in; เครือข่ายชุมชน,0,2025-02-05,2,18000.0,9000.0,เงินสงเคราะห์คนพิการ,2024-01-30,0,0.0,,9000.0,0
6291383137886,นันทนา,เจริญผล,ชาย,1942-04-15,ลพบุรี,ภาคกลาง,1,รายได้ไม่เพียงพอ,ผู้สูงอายุ,ระบบออนไลน์,0,2025-07-19,2,15000.0,7500.0,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,2025-08-12,0,0.0,,7500.0,0
4492446098303,พัชรินทร์,สุขสวัสดิ์,หญิง,1938-09-20,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,2,ที่อยู่อาศัย; รายได้ไม่เพียงพอ,ผู้สูงอายุ,ระบบออนไลน์; หน่วยงานส่งต่อ,1,2026-07-13,1,2000.0,2000.0,เงินสงเคราะห์คนพิการ,2026-07-26,0,0.0,,2000.0,0
6664024796872,จุฑามาศ,แสงทอง,ชาย,1947-05-16,มหาสารคาม,ภาคตะวันออกเฉียงเหนือ,1,รายได้ไม่เพียงพอ,ผู้สูงอายุ,ระบบออนไลน์,0,2024-11-21,1,4500.0,4500.0,เงินสงเคราะห์เด็กในครอบครัวยากจน,2024-12-06,0,0.0,,4500.0,0
8796185655585,รัชนี,บุญเกิด,ชาย,2012-05-31,ลำพูน,ภาคเหนือ,1,รายได้ไม่เพียงพอ,เด็กและเยาวชน,สายด่วน พม. 1300,0,2026-06-09,0,0.0,0.0,,,0,0.0,,0.0,0
2056539513638,พชร,วัฒนกุล,หญิง,2005-09-24,ลพบุรี,ภาคกลาง,1,ปัญหาสุขภาพและการดำรงชีพ,ผู้มีรายได้น้อย,หน่วยงานส่งต่อ,0,2023-05-01,1,4500.0,4500.0,เงินช่วยเหลือด้านที่อยู่อาศัย,2023-05-18,0,0.0,,4500.0,0
