payment_id,case_id,citizen_id,first_name,last_name,gender,birth_date,target_group,welfare_type,assistance_reason,request_date,approval_date,payment_date,approved_amount,paid_amount,payment_method,payment_status,payment_round,fund_source,province,district,agency
PAY00001,SOC00223,3256095832457,วิศรุต,ฤทธิไกร,ชาย,1945-12-20,ผู้สูงอายุ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ครอบครัวประสบเหตุฉุกเฉิน,2023-01-12,2023-01-15,2023-01-19,7500,5000,พร้อมเพย์,จ่ายบางส่วน,1,งบดำเนินงานของหน่วยงาน,ราชบุรี,ทุ่งสุข,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00002,SOC00266,4811096907581,กฤษฎา,สวัสดี,ชาย,2002-10-20,สตรีและครอบครัว,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ขาดผู้ดูแลและรายได้,2025-02-26,2025-03-04,2025-03-09,3500,3500,โอนเข้าบัญชีธนาคาร,จ่ายครบแล้ว,1,เงินสำรองเพื่อกรณีฉุกเฉิน,เชียงราย,เมืองเชียงราย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00003,SOC00066,7881006384375,ชยพล,แสนดี,ชาย,1966-05-08,ผู้สูงอายุ,เงินสงเคราะห์เด็กในครอบครัวยากจน,มีค่าใช้จ่ายด้านสุขภาพ,2025-07-31,2025-08-11,2025-08-20,6500,2500,พร้อมเพย์,จ่ายบางส่วน,1,งบประมาณรายจ่ายประจำปี,ระยอง,คลองใหม่,บ้านพักเด็กและครอบครัว
PAY00004,SOC00265,5058987582109,ศิริพร,รัตนวงศ์,ชาย,1944-12-21,ผู้สูงอายุ,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ว่างงานหรือรายได้ลดลง,2025-08-22,2025-09-03,2025-09-13,8000,6000,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบประมาณรายจ่ายประจำปี,ราชบุรี,ศรีพัฒนา,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
PAY00005,SOC00352,7217531176802,ธัญชนก,สุขใจ,หญิง,1967-11-26,ผู้มีรายได้น้อย,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ขาดผู้ดูแลและรายได้,2025-11-15,2025-11-24,2025-11-29,6000,4500,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบดำเนินงานของหน่วยงาน,เชียงราย,พาน,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00006,SOC00229,3053576212498,ธัญชนก,จันทร์หอม,ชาย,1956-06-25,ผู้มีรายได้น้อย,เงินสงเคราะห์เด็กในครอบครัวยากจน,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2022-07-29,2022-08-07,2022-08-10,6500,2000,เงินสดผ่านหน่วยงาน,จ่ายบางส่วน,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,นครศรีธรรมราช,หนองกลาง,บ้านพักเด็กและครอบครัว
PAY00007,SOC00054,5863969138748,กมลชนก,นาคทอง,ชาย,1957-12-19,ผู้สูงอายุ,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,ครอบครัวประสบเหตุฉุกเฉิน,2026-02-01,2026-02-07,2026-02-12,9500,1500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,ฉะเชิงเทรา,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00008,SOC00058,1119003715413,อัญชลี,พิทักษ์วงศ์,หญิง,1960-02-02,ผู้สูงอายุ,เงินสงเคราะห์ผู้สูงอายุในภาวะยากลำบาก,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2022-05-25,2022-05-28,2022-05-28,10000,8000,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,งบประมาณรายจ่ายประจำปี,ร้อยเอ็ด,ทุ่งสุข,บ้านพักเด็กและครอบครัว
PAY00009,SOC00088,7571303492442,พรทิพย์,จันทร์ฉาย,หญิง,2005-05-18,คนไร้ที่พึ่ง,เงินสงเคราะห์คนพิการ,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2026-08-07,2026-08-17,2026-08-24,8000,8000,โอนเข้าบัญชีธนาคาร,จ่ายครบแล้ว,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,ร้อยเอ็ด,ทุ่งสุข,บ้านพักเด็กและครอบครัว
PAY00010,SOC00297,8264653465243,นภัสสร,กุลวงศ์,หญิง,1965-09-21,คนไร้ที่พึ่ง,เงินสงเคราะห์ครอบครัวผู้มีรายได้น้อยและผู้ไร้ที่พึ่ง,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2026-07-02,2026-07-13,2026-07-21,3500,3500,โอนเข้าบัญชีธนาคาร,จ่ายครบแล้ว,1,เงินสำรองเพื่อกรณีฉุกเฉิน,ตรัง,คลองใหม่,ศูนย์คุ้มครองคนไร้ที่พึ่ง
PAY00011,SOC00303,2471753028534,บุษบา,เพิ่มพูน,หญิง,1977-11-17,ผู้ประสบปัญหาทางสังคมทั่วไป,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2026-02-28,2026-03-11,2026-03-14,9000,4500,เงินสดผ่านหน่วยงาน,รอจ่ายงวดถัดไป,1,งบดำเนินงานของหน่วยงาน,พิจิตร,บ้านใหม่,บ้านพักเด็กและครอบครัว
PAY00012,SOC00024,3357147437383,ปกรณ์,แสงทอง,ชาย,1997-04-20,ผู้มีรายได้น้อย,เงินช่วยเหลือผู้ประสบปัญหาทางสังคมกรณีฉุกเฉิน,มีภาระหนี้สินและค่าใช้จ่ายจำเป็น,2025-09-11,2025-09-21,2025-09-25,9500,9500,เงินสดผ่านหน่วยงาน,จ่ายครบแล้ว,1,งบประมาณรายจ่ายประจำปี,ลำปาง,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
PAY00013,SOC00399,8601658106211,ชไมพร,เกษมสุข,ชาย,2015-01-21,เด็กและเยาวชน,เงินสงเคราะห์คนพิการ,ขาดรายได้สำหรับค่าใช้จ่ายจำเป็น,2025-12-06,2025-12-15,2025-12-25,9000,5000,โอนเข้าบัญชีธนาคาร,จ่ายบางส่วน,1,เงินกองทุนส่งเสริมการจัดสวัสดิการสังคม,สระแก้ว,ศรีพัฒนา,บ้านพักเด็กและครอบครัว
PAY00014,SOC00209,7996579409231,กฤษฎา,วัฒนกุล,ชาย,1975-04-28,คนพิการ,เงินสงเคราะห์คนพิการ,มีค่าใช้จ่ายด้านสุขภาพ,2025-03-31,2025-04-09,2025-04-13,3500,2500,พร้อมเพย์,จ่ายบางส่วน,1,เงินสำรองเพื่อกรณีฉุกเฉิน,พิษณุโลก,ศรีพัฒนา,บ้านพักเด็กและครอบครัว
PAY00015,SOC00435,7622134403618,จุฑามาศ,คงมั่น,ชาย,2015-06-21,เด็กและเยาวชน,เงินสงเคราะห์คนพิการ,ครอบครัวประสบเหตุฉุกเฉิน,2026-08-16,2026-08-24,2026-08-24,4000,1000,พร้อมเพย์,รอจ่ายงวดถัดไป,1,งบดำเนินงานของหน่วยงาน,นนทบุรี,เมืองนนทบุรี,ศูนย์คุ้มครองคนไร้ที่พึ่ง
