payment_id,grant_case_id,child_citizen_id,child_first_name,child_last_name,child_gender,child_birth_date,father_citizen_id,father_first_name,father_last_name,father_status,mother_citizen_id,mother_first_name,mother_last_name,mother_status,guardian_citizen_id,guardian_first_name,guardian_last_name,guardian_relationship,legal_guardian_relation,legal_guardian_reason,application_date,approval_date,entitlement_start_date,payment_date,payment_round,payment_amount,payment_status,payment_method,household_member_count,household_annual_income,registration_channel,province,district,subdistrict,agency
NCGPAY00099,NCG00099,4.49245E+12,ชนน,วิริยะกุล,ชาย,21/01/2020,2.08526E+12,ธนวัฒน์,มั่นคง,มีชีวิตและเลี้ยงดูเด็ก,3.59938E+12,มาลี,ยอดแก้ว,มีชีวิตและเลี้ยงดูเด็ก,3.59938E+12,มาลี,ยอดแก้ว,มารดา,,,6/04/2020,22/04/2020,22/04/2020,13/05/2020,1,600,จ่ายสำเร็จ,พร้อมเพย์,5,76500,เจ้าหน้าที่ช่วยลงทะเบียน,ลพบุรี,โคกสำโรง,วังจั่น,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดลพบุรี
NCGPAY00158,NCG00158,8.72126E+12,ชนิดา,สุขสวัสดิ์,ชาย,10/04/2020,5.42442E+12,ชยุต,ยอดแก้ว,ไม่สามารถติดต่อได้,4.04586E+12,มณีรัตน์,อินทร์แก้ว,ไม่สามารถติดต่อได้,2.61497E+12,พงษ์ศักดิ์,ยอดแก้ว,ผู้ปกครองโดยชอบด้วยกฎหมาย,ลุง,ไม่สามารถติดต่อบิดาและมารดาได้,10/05/2020,27/05/2020,27/05/2020,28/05/2020,1,600,จ่ายสำเร็จ,พร้อมเพย์,5,76500,หน่วยบริการเคลื่อนที่,ชลบุรี,พนัสนิคม,วัดโบสถ์,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00499,NCG00099,4.49245E+12,ชนน,วิริยะกุล,ชาย,21/01/2020,2.08526E+12,ธนวัฒน์,มั่นคง,มีชีวิตและเลี้ยงดูเด็ก,3.59938E+12,มาลี,ยอดแก้ว,มีชีวิตและเลี้ยงดูเด็ก,3.59938E+12,มาลี,ยอดแก้ว,มารดา,,,6/04/2020,22/04/2020,22/04/2020,12/06/2020,2,600,จ่ายสำเร็จ,พร้อมเพย์,5,76500,เจ้าหน้าที่ช่วยลงทะเบียน,ลพบุรี,โคกสำโรง,วังจั่น,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดลพบุรี
NCGPAY00244,NCG00244,4.66927E+12,ศุภกร,ทวีทรัพย์,ชาย,26/04/2020,7.63002E+12,พงษ์ศักดิ์,พิพัฒน์กุล,มีชีวิตและเลี้ยงดูเด็ก,8.36008E+12,สุกัญญา,สวัสดิผล,มีชีวิตและเลี้ยงดูเด็ก,8.36008E+12,สุกัญญา,สวัสดิผล,มารดา,,,8/06/2020,28/06/2020,28/06/2020,28/06/2020,1,600,จ่ายสำเร็จ,พร้อมเพย์,3,58700,ลงทะเบียน ณ หน่วยรับลงทะเบียน,พิษณุโลก,เมืองพิษณุโลก,บ้านกร่าง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพิษณุโลก
NCGPAY00354,NCG00158,8.72126E+12,ชนิดา,สุขสวัสดิ์,ชาย,10/04/2020,5.42442E+12,ชยุต,ยอดแก้ว,ไม่สามารถติดต่อได้,4.04586E+12,มณีรัตน์,อินทร์แก้ว,ไม่สามารถติดต่อได้,2.61497E+12,พงษ์ศักดิ์,ยอดแก้ว,ผู้ปกครองโดยชอบด้วยกฎหมาย,ลุง,ไม่สามารถติดต่อบิดาและมารดาได้,10/05/2020,27/05/2020,27/05/2020,30/06/2020,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,76500,หน่วยบริการเคลื่อนที่,ชลบุรี,พนัสนิคม,วัดโบสถ์,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00037,NCG00037,8.31019E+12,ขวัญฤดี,นาคทอง,ชาย,3/02/2020,2.97471E+12,ธีรภัทร,วงศ์สวัสดิ์,มีชีวิตและเลี้ยงดูเด็ก,4.58529E+12,พิมพ์ชนก,ยอดแก้ว,มีชีวิตและเลี้ยงดูเด็ก,4.58529E+12,พิมพ์ชนก,ยอดแก้ว,มารดา,,,8/06/2020,7/07/2020,7/07/2020,10/07/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,2,54200,ระบบออนไลน์,นครสวรรค์,ไพศาลี,วังข่อย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครสวรรค์
NCGPAY00359,NCG00158,8.72126E+12,ชนิดา,สุขสวัสดิ์,ชาย,10/04/2020,5.42442E+12,ชยุต,ยอดแก้ว,ไม่สามารถติดต่อได้,4.04586E+12,มณีรัตน์,อินทร์แก้ว,ไม่สามารถติดต่อได้,2.61497E+12,พงษ์ศักดิ์,ยอดแก้ว,ผู้ปกครองโดยชอบด้วยกฎหมาย,ลุง,ไม่สามารถติดต่อบิดาและมารดาได้,10/05/2020,27/05/2020,27/05/2020,3/08/2020,3,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,76500,หน่วยบริการเคลื่อนที่,ชลบุรี,พนัสนิคม,วัดโบสถ์,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00173,NCG00173,3.14386E+12,ศุภลักษณ์,นาคทอง,ชาย,23/05/2020,4.6855E+12,อภิชาติ,โชคชัย,มีชีวิตและเลี้ยงดูเด็ก,8.97574E+12,ณิชา,มั่นคง,มีชีวิตและเลี้ยงดูเด็ก,8.97574E+12,ณิชา,มั่นคง,มารดา,,,28/06/2020,9/07/2020,9/07/2020,7/08/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,3,62700,เจ้าหน้าที่ช่วยลงทะเบียน,บุรีรัมย์,ชำนิ,เมืองยาง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดบุรีรัมย์
NCGPAY00159,NCG00159,1.69899E+12,ชยพล,พิพัฒน์กุล,หญิง,16/03/2020,6.59845E+12,กฤษฎา,ทองอินทร์,มีชีวิตและเลี้ยงดูเด็ก,2.77325E+12,วิภาวี,คุ้มภัย,มีชีวิตและเลี้ยงดูเด็ก,2.77325E+12,วิภาวี,คุ้มภัย,มารดา,,,10/07/2020,3/08/2020,3/08/2020,10/08/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,88400,หน่วยบริการเคลื่อนที่,นครสวรรค์,ไพศาลี,วังข่อย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครสวรรค์
NCGPAY00163,NCG00163,4.39971E+12,ชลธิชา,ศรีสมบัติ,ชาย,25/04/2020,7.10219E+12,ปกรณ์,ศรีสมบัติ,มีชีวิตและเลี้ยงดูเด็ก,6.48206E+12,พัชรินทร์,พิพัฒน์กุล,มีชีวิตและเลี้ยงดูเด็ก,7.10219E+12,ปกรณ์,ศรีสมบัติ,บิดา,,,9/08/2020,16/08/2020,16/08/2020,3/09/2020,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,6,83200,หน่วยบริการเคลื่อนที่,พิษณุโลก,เมืองพิษณุโลก,บ้านกร่าง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพิษณุโลก
