case_id,citizen_id,first_name,last_name,gender,birth_date,target_group,problem_type,request_date,assistance_date,assistance_type,case_source,urgency_level,case_result,close_date,channel,province,district,agency
SOC00001,1955805695341,ชไมพร,สุนทรวงศ์,หญิง,1998-05-14,คนไร้ที่พึ่ง,ขาดผู้ดูแล,2023-11-15,2023-11-22,ประสานส่งต่อหน่วยงาน,ประชาชนแจ้งด้วยตนเอง,ปกติ,ติดตามผลและปิดเคส,2023-12-02,เครือข่ายชุมชน,จันทบุรี,คลองใหม่,ศูนย์ช่วยเหลือสังคม 1300
SOC00002,7258690001749,กมลชนก,เกษมสุข,ชาย,1961-05-06,ผู้ประสบปัญหาทางสังคมทั่วไป,ปัญหาสุขภาพและการดำรงชีพ,2023-06-15,2023-06-28,ช่วยเหลือสิ่งของเครื่องใช้จำเป็น,หน่วยงานภาครัฐส่งต่อ,ปกติ,ให้คำปรึกษาและปิดเคส,2023-07-25,หน่วยงานส่งต่อ,บุรีรัมย์,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00003,5224821529491,วาสนา,ภูมิใจ,ชาย,2003-02-23,ผู้มีรายได้น้อย,ความรุนแรงในครอบครัว,2024-05-22,2024-05-26,จัดหาที่พักชั่วคราว,ประชาชนแจ้งด้วยตนเอง,เร่งด่วน,ส่งต่อหน่วยงานและปิดเคส,2024-06-09,หน่วยงานส่งต่อ,พิจิตร,คลองใหม่,ศูนย์ช่วยเหลือสังคม 1300
SOC00004,2696728529820,สายฝน,อ่อนละมุน,หญิง,1960-06-21,ผู้สูงอายุ,ประสบเหตุฉุกเฉิน,2024-10-17,2024-10-19,ช่วยเหลือสิ่งของเครื่องใช้จำเป็น,องค์กรปกครองส่วนท้องถิ่นส่งต่อ,ฉุกเฉิน,ติดตามผลและปิดเคส,2024-11-04,Walk-in,อุตรดิตถ์,ทุ่งสุข,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00005,4187314354202,กรรณิการ์,ชำนาญกิจ,หญิง,1986-04-06,ผู้ประสบปัญหาทางสังคมทั่วไป,รายได้ไม่เพียงพอ,2025-06-24,2025-06-26,ช่วยเหลือเงินสงเคราะห์,หน่วยงานภาครัฐส่งต่อ,เร่งด่วน,ช่วยเหลือและปิดเคส,2025-07-26,สายด่วน พม. 1300,ลพบุรี,ศรีพัฒนา,บ้านพักเด็กและครอบครัว
SOC00006,6001213402611,ชญานิศ,ประเสริฐศรี,ชาย,2017-04-15,เด็กและเยาวชน,ขาดผู้ดูแล,2025-01-18,2025-01-21,ช่วยเหลือเงินสงเคราะห์,ญาติ/ครอบครัวแจ้ง,ปกติ,ติดตามผลและปิดเคส,2025-02-13,เครือข่ายชุมชน,อุตรดิตถ์,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00007,2284721441643,นันทนา,วงศ์คำ,ชาย,1978-10-27,คนพิการ,หนี้สินครัวเรือน,2026-03-08,2026-03-12,ให้คำปรึกษา,สายด่วน พม. 1300,เร่งด่วน,ติดตามผลและปิดเคส,2026-04-10,เครือข่ายชุมชน,ปทุมธานี,คลองหลวง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00008,5433990413969,พัชราภา,ร่มเย็น,ชาย,1974-02-04,ผู้มีรายได้น้อย,รายได้ไม่เพียงพอ,2026-02-01,2026-02-10,ช่วยเหลือสิ่งของเครื่องใช้จำเป็น,สายด่วน พม. 1300,ปกติ,ช่วยเหลือและปิดเคส,2026-02-25,Walk-in,ลำปาง,เมือง,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00009,8240399515252,เมธาวี,พรมศรี,ชาย,2022-05-30,เด็กและเยาวชน,ความรุนแรงในครอบครัว,2024-05-26,2024-06-06,ให้คำปรึกษา,เครือข่ายชุมชนแจ้ง,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2024-07-03,สายด่วน พม. 1300,นครราชสีมา,พิมาย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00010,1446676889069,ณัฐวุฒิ,สุขเกษม,ชาย,2016-12-06,เด็กและเยาวชน,ประสบเหตุฉุกเฉิน,2025-02-05,2025-02-18,จัดหาที่พักชั่วคราว,หน่วยงานภาครัฐส่งต่อ,ปกติ,ติดตามผลและปิดเคส,2025-03-12,เครือข่ายชุมชน,เชียงราย,เชียงของ,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00011,6291383137886,นันทนา,เจริญผล,ชาย,1942-04-15,ผู้สูงอายุ,รายได้ไม่เพียงพอ,2025-07-19,2025-08-05,ช่วยเหลือเงินสงเคราะห์,ญาติ/ครอบครัวแจ้ง,ปกติ,ติดตามผลและปิดเคส,2025-08-19,ระบบออนไลน์,ลพบุรี,คลองใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00012,4492446098303,พัชรินทร์,สุขสวัสดิ์,หญิง,1938-09-20,ผู้สูงอายุ,รายได้ไม่เพียงพอ,2026-07-13,2026-07-20,ช่วยเหลือเงินสงเคราะห์,หน่วยงานภาครัฐส่งต่อ,เร่งด่วน,ช่วยเหลือและปิดเคส,2026-08-10,ระบบออนไลน์,ขอนแก่น,บ้านไผ่,ศูนย์ช่วยเหลือสังคม 1300
SOC00013,6664024796872,จุฑามาศ,แสงทอง,ชาย,1947-05-16,ผู้สูงอายุ,รายได้ไม่เพียงพอ,2024-11-21,2024-12-08,ช่วยเหลือเงินสงเคราะห์,สายด่วน พม. 1300,ปกติ,ติดตามผลและปิดเคส,2024-12-22,ระบบออนไลน์,มหาสารคาม,เมือง,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00014,8796185655585,รัชนี,บุญเกิด,ชาย,2012-05-31,เด็กและเยาวชน,รายได้ไม่เพียงพอ,2026-06-09,2026-06-28,ประสานส่งต่อหน่วยงาน,ญาติ/ครอบครัวแจ้ง,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2026-07-26,สายด่วน พม. 1300,ลำพูน,หนองกลาง,บ้านพักเด็กและครอบครัว
SOC00015,2056539513638,พชร,วัฒนกุล,หญิง,2005-09-24,ผู้มีรายได้น้อย,ปัญหาสุขภาพและการดำรงชีพ,2023-05-01,2023-05-17,ช่วยเหลือเงินสงเคราะห์,องค์กรปกครองส่วนท้องถิ่นส่งต่อ,ปกติ,ติดตามผลและปิดเคส,2023-06-13,หน่วยงานส่งต่อ,ลพบุรี,บ้านใหม่,ศูนย์ช่วยเหลือสังคม 1300
SOC00016,4806263249604,สุรีย์พร,เพิ่มพูน,ชาย,1983-05-24,สตรีและครอบครัว,ว่างงาน,2026-06-29,2026-07-16,ช่วยเหลือเงินสงเคราะห์,ญาติ/ครอบครัวแจ้ง,ปกติ,ติดตามผลและปิดเคส,2026-07-18,หน่วยงานส่งต่อ,บุรีรัมย์,เมือง,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00017,5045662977004,กาญจนา,มงคลชัย,ชาย,2006-05-12,ผู้มีรายได้น้อย,ความรุนแรงในครอบครัว,2026-08-22,2026-08-24,ช่วยเหลือสิ่งของเครื่องใช้จำเป็น,สายด่วน พม. 1300,เร่งด่วน,ส่งต่อหน่วยงานและปิดเคส,2026-08-24,Walk-in,นครศรีธรรมราช,ศรีพัฒนา,ศูนย์ช่วยเหลือสังคม 1300
SOC00018,2284721441643,นันทนา,วงศ์คำ,ชาย,1978-10-27,คนพิการ,ปัญหาสุขภาพและการดำรงชีพ,2023-05-01,2023-05-07,ประสานส่งต่อหน่วยงาน,ญาติ/ครอบครัวแจ้ง,ปกติ,ให้คำปรึกษาและปิดเคส,2023-05-29,หน่วยงานส่งต่อ,นราธิวาส,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00019,2382583517311,พิมพ์ชนก,พรหมมา,ชาย,2009-06-23,เด็กและเยาวชน,รายได้ไม่เพียงพอ,2023-07-23,2023-07-28,ให้คำปรึกษา,องค์กรปกครองส่วนท้องถิ่นส่งต่อ,ปกติ,ช่วยเหลือและปิดเคส,2023-08-26,ระบบออนไลน์,กระบี่,ทุ่งสุข,บ้านพักเด็กและครอบครัว
SOC00020,8334995448384,สุภาวดี,นิ่มนวล,ชาย,1956-02-07,คนไร้ที่พึ่ง,หนี้สินครัวเรือน,2026-01-17,2026-01-18,ช่วยเหลือเงินสงเคราะห์,ญาติ/ครอบครัวแจ้ง,เร่งด่วน,ให้คำปรึกษาและปิดเคส,2026-01-22,Walk-in,จันทบุรี,หนองกลาง,ศูนย์ช่วยเหลือสังคม 1300
SOC00021,7201827019170,ธนพร,อุดมศักดิ์,ชาย,1999-06-04,ผู้มีรายได้น้อย,ขาดผู้ดูแล,2022-08-03,2022-08-16,ช่วยเหลือสิ่งของเครื่องใช้จำเป็น,หน่วยงานภาครัฐส่งต่อ,ปกติ,ช่วยเหลือและปิดเคส,2022-08-23,หน่วยงานส่งต่อ,สงขลา,สะเดา,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00022,4268248756425,พรรณภา,เจริญผล,ชาย,1964-08-07,ผู้มีรายได้น้อย,ความรุนแรงในครอบครัว,2025-05-17,2025-05-30,ช่วยเหลือด้านที่อยู่อาศัย,สายด่วน พม. 1300,ปกติ,ให้คำปรึกษาและปิดเคส,2025-06-20,ระบบออนไลน์,ขอนแก่น,บ้านไผ่,ศูนย์ช่วยเหลือสังคม 1300
SOC00023,7099437880414,ขวัญฤดี,ทองมาก,ชาย,1975-08-05,ผู้ประสบปัญหาทางสังคมทั่วไป,ที่อยู่อาศัย,2026-04-25,2026-05-12,ช่วยเหลือเงินสงเคราะห์,สายด่วน พม. 1300,ปกติ,ให้คำปรึกษาและปิดเคส,2026-05-12,สายด่วน พม. 1300,ขอนแก่น,น้ำพอง,ศูนย์ช่วยเหลือสังคม 1300
SOC00024,3357147437383,ปกรณ์,แสงทอง,ชาย,1997-04-20,ผู้มีรายได้น้อย,หนี้สินครัวเรือน,2025-09-09,2025-09-17,ช่วยเหลือเงินสงเคราะห์,หน่วยงานภาครัฐส่งต่อ,ปกติ,ติดตามผลและปิดเคส,2025-10-17,Walk-in,ลำปาง,เมือง,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00025,8906697935488,ปวีณา,รัตนวงศ์,หญิง,1995-10-19,สตรีและครอบครัว,ที่อยู่อาศัย,2024-02-19,2024-02-21,ช่วยเหลือสิ่งของเครื่องใช้จำเป็น,ประชาชนแจ้งด้วยตนเอง,ฉุกเฉิน,ให้คำปรึกษาและปิดเคส,2024-03-14,สายด่วน พม. 1300,พิจิตร,คลองใหม่,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00026,3402808904127,วรเมธ,บุญส่ง,ชาย,1970-12-12,สตรีและครอบครัว,ความรุนแรงในครอบครัว,2022-08-08,2022-08-16,ให้คำปรึกษา,หน่วยงานภาครัฐส่งต่อ,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2022-09-06,ระบบออนไลน์,เชียงราย,เมืองเชียงราย,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00027,2007476414141,ขวัญฤดี,สุวรรณวงศ์,ชาย,2008-09-22,เด็กและเยาวชน,ขาดผู้ดูแล,2024-07-30,2024-08-09,ช่วยเหลือเงินสงเคราะห์,ประชาชนแจ้งด้วยตนเอง,ปกติ,ช่วยเหลือและปิดเคส,2024-08-28,หน่วยงานส่งต่อ,สมุทรปราการ,เมือง,บ้านพักเด็กและครอบครัว
SOC00028,3402808904127,วรเมธ,บุญส่ง,ชาย,1970-12-12,สตรีและครอบครัว,รายได้ไม่เพียงพอ,2024-12-23,2025-01-11,ช่วยเหลือเงินสงเคราะห์,ประชาชนแจ้งด้วยตนเอง,ปกติ,ให้คำปรึกษาและปิดเคส,2025-02-08,ระบบออนไลน์,สมุทรสาคร,ทุ่งสุข,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00029,3899298774505,กาญจนา,ตั้งมั่น,หญิง,1982-12-13,สตรีและครอบครัว,รายได้ไม่เพียงพอ,2026-06-23,2026-07-11,ช่วยเหลือเงินสงเคราะห์,สายด่วน พม. 1300,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2026-07-19,สายด่วน พม. 1300,ลำปาง,บ้านใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00030,5372769401023,พรทิพย์,กุลวงศ์,หญิง,2015-12-24,เด็กและเยาวชน,ว่างงาน,2025-11-06,2025-11-18,จัดหาที่พักชั่วคราว,เครือข่ายชุมชนแจ้ง,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2025-11-29,หน่วยงานส่งต่อ,กระบี่,บ้านใหม่,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00031,3350353810225,สุรีย์พร,เกิดผล,หญิง,1975-03-25,ผู้มีรายได้น้อย,ที่อยู่อาศัย,2026-01-14,2026-01-28,ให้คำปรึกษา,ญาติ/ครอบครัวแจ้ง,ปกติ,ช่วยเหลือและปิดเคส,2026-02-15,สายด่วน พม. 1300,น่าน,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด
SOC00032,1446676889069,ณัฐวุฒิ,สุขเกษม,ชาย,2016-12-06,เด็กและเยาวชน,ว่างงาน,2024-01-15,2024-02-02,ช่วยเหลือเงินสงเคราะห์,สายด่วน พม. 1300,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2024-02-04,Walk-in,นราธิวาส,ศรีพัฒนา,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00033,8876900213829,สุรศักดิ์,อ่อนละมุน,ชาย,1985-09-20,ผู้ประสบปัญหาทางสังคมทั่วไป,รายได้ไม่เพียงพอ,2026-05-09,2026-05-16,ช่วยเหลือเงินสงเคราะห์,เครือข่ายชุมชนแจ้ง,ปกติ,ช่วยเหลือและปิดเคส,2026-06-07,ระบบออนไลน์,สงขลา,สะเดา,บ้านพักเด็กและครอบครัว
SOC00034,6615556094415,นิภาพร,นาคทอง,หญิง,1964-09-02,ผู้สูงอายุ,ความรุนแรงในครอบครัว,2025-12-21,2025-12-31,จัดหาที่พักชั่วคราว,สายด่วน พม. 1300,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2026-01-23,เครือข่ายชุมชน,ยะลา,บ้านใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00035,4010769542037,สมฤดี,ทรัพย์เจริญ,หญิง,2022-12-05,เด็กและเยาวชน,ความรุนแรงในครอบครัว,2025-09-09,2025-09-21,ช่วยเหลือเงินสงเคราะห์,ประชาชนแจ้งด้วยตนเอง,ปกติ,ช่วยเหลือและปิดเคส,2025-10-13,เครือข่ายชุมชน,เชียงราย,เมืองเชียงราย,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00036,5647182724311,เอกภพ,บัวแก้ว,หญิง,1951-06-20,ผู้สูงอายุ,ปัญหาสุขภาพและการดำรงชีพ,2023-01-13,2023-01-30,ประสานส่งต่อหน่วยงาน,หน่วยงานภาครัฐส่งต่อ,ปกติ,ช่วยเหลือและปิดเคส,2023-01-30,Walk-in,สมุทรสาคร,บ้านใหม่,ศูนย์ช่วยเหลือสังคม 1300
SOC00037,8992828955173,กัญญารัตน์,ทองมาก,หญิง,2006-09-10,คนพิการ,ความรุนแรงในครอบครัว,2026-07-16,2026-07-31,ช่วยเหลือด้านที่อยู่อาศัย,ประชาชนแจ้งด้วยตนเอง,ปกติ,ติดตามผลและปิดเคส,2026-08-24,หน่วยงานส่งต่อ,ลพบุรี,หนองกลาง,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00038,4492446098303,พัชรินทร์,สุขสวัสดิ์,หญิง,1938-09-20,ผู้สูงอายุ,ที่อยู่อาศัย,2023-07-15,2023-07-18,จัดหาที่พักชั่วคราว,ญาติ/ครอบครัวแจ้ง,ปกติ,ให้คำปรึกษาและปิดเคส,2023-08-01,หน่วยงานส่งต่อ,สมุทรสาคร,บ้านใหม่,ศูนย์ช่วยเหลือสังคม 1300
SOC00039,6777833703632,รวิศ,มิตรดี,หญิง,1986-09-25,ผู้มีรายได้น้อย,รายได้ไม่เพียงพอ,2026-06-30,2026-07-08,ช่วยเหลือสิ่งของเครื่องใช้จำเป็น,ญาติ/ครอบครัวแจ้ง,ปกติ,ให้คำปรึกษาและปิดเคส,2026-07-22,เครือข่ายชุมชน,สมุทรปราการ,บ้านใหม่,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00040,7366960558128,วชิรวิทย์,พรมศรี,หญิง,1961-05-10,คนไร้ที่พึ่ง,หนี้สินครัวเรือน,2025-05-16,2025-05-23,ช่วยเหลือเงินสงเคราะห์,ญาติ/ครอบครัวแจ้ง,เร่งด่วน,ส่งต่อหน่วยงานและปิดเคส,2025-06-18,หน่วยงานส่งต่อ,พิษณุโลก,เมือง,บ้านพักเด็กและครอบครัว
SOC00041,7648088792161,ชนิดา,มิตรดี,หญิง,1955-01-24,ผู้สูงอายุ,ขาดผู้ดูแล,2024-04-26,2024-05-08,ประสานส่งต่อหน่วยงาน,ญาติ/ครอบครัวแจ้ง,ปกติ,ให้คำปรึกษาและปิดเคส,2024-05-22,Walk-in,ระยอง,ศรีพัฒนา,ศูนย์คุ้มครองคนไร้ที่พึ่ง
SOC00042,5538896382323,ชลธิชา,ไชยวงศ์,ชาย,1979-01-10,ผู้มีรายได้น้อย,ที่อยู่อาศัย,2023-07-16,2023-07-19,ช่วยเหลือเงินสงเคราะห์,ประชาชนแจ้งด้วยตนเอง,ปกติ,ให้คำปรึกษาและปิดเคส,2023-08-07,Walk-in,สุพรรณบุรี,หนองกลาง,บ้านพักเด็กและครอบครัว
SOC00043,4104853624513,สิทธิโชค,เพชรรัตน์,ชาย,1951-06-16,ผู้สูงอายุ,ว่างงาน,2025-08-31,2025-09-15,ช่วยเหลือด้านที่อยู่อาศัย,สายด่วน พม. 1300,ปกติ,ช่วยเหลือและปิดเคส,2025-09-23,สายด่วน พม. 1300,สงขลา,สิงหนคร,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุ
SOC00044,4871562621101,ณิชา,สมานมิตร,หญิง,1960-05-07,ผู้สูงอายุ,ที่อยู่อาศัย,2026-06-08,2026-06-14,ช่วยเหลือเงินสงเคราะห์,หน่วยงานภาครัฐส่งต่อ,ปกติ,ส่งต่อหน่วยงานและปิดเคส,2026-07-03,เครือข่ายชุมชน,อุบลราชธานี,เมือง,ศูนย์ช่วยเหลือสังคม 1300
