payment_id,grant_case_id,child_citizen_id,child_first_name,child_last_name,child_gender,child_birth_date,guardian_citizen_id,guardian_first_name,guardian_last_name,guardian_relationship,application_date,approval_date,entitlement_start_date,payment_date,payment_round,payment_amount,payment_status,payment_method,household_member_count,household_income_per_capita,registration_channel,province,district,agency
NCGPAY00099,NCG00099,4492446098303,มนัสวี,พิพัฒน์กุล,ชาย,2020-01-21,1036515935046,ศิรินภา,สุทธิวงศ์,มารดา,2020-04-06,2020-04-22,2020-04-22,2020-05-13,1,600,จ่ายสำเร็จ,พร้อมเพย์,5,10750,เจ้าหน้าที่ช่วยลงทะเบียน,ลพบุรี,หนองกลาง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดลพบุรี
NCGPAY00158,NCG00158,8721260273856,ชนน,วงศ์คำ,ชาย,2020-04-10,3603492326659,วนิดา,วงศ์คำ,ผู้ปกครองโดยชอบด้วยกฎหมาย,2020-05-10,2020-05-27,2020-05-27,2020-05-28,1,600,จ่ายสำเร็จ,พร้อมเพย์,5,4500,หน่วยบริการเคลื่อนที่,ชลบุรี,บางละมุง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00499,NCG00099,4492446098303,มนัสวี,พิพัฒน์กุล,ชาย,2020-01-21,1036515935046,ศิรินภา,สุทธิวงศ์,มารดา,2020-04-06,2020-04-22,2020-04-22,2020-06-12,2,600,จ่ายสำเร็จ,พร้อมเพย์,5,10750,เจ้าหน้าที่ช่วยลงทะเบียน,ลพบุรี,หนองกลาง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดลพบุรี
NCGPAY00244,NCG00244,4669274952659,เบญจพร,สิงห์ทอง,ชาย,2020-04-26,5874525905810,ชนิดา,เกิดผล,มารดา,2020-06-08,2020-06-28,2020-06-28,2020-06-28,1,600,จ่ายสำเร็จ,พร้อมเพย์,3,6500,ลงทะเบียน ณ หน่วยรับลงทะเบียน,พิษณุโลก,หนองกลาง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพิษณุโลก
NCGPAY00354,NCG00158,8721260273856,ชนน,วงศ์คำ,ชาย,2020-04-10,3603492326659,วนิดา,วงศ์คำ,ผู้ปกครองโดยชอบด้วยกฎหมาย,2020-05-10,2020-05-27,2020-05-27,2020-06-30,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,4500,หน่วยบริการเคลื่อนที่,ชลบุรี,บางละมุง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00037,NCG00037,8310191384723,ชนิดา,วงศ์คำ,ชาย,2020-02-03,4183267553743,อาทิตยา,ประเสริฐศรี,มารดา,2020-06-08,2020-07-07,2020-07-07,2020-07-10,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,2,7500,ระบบออนไลน์,นครสวรรค์,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครสวรรค์
NCGPAY00359,NCG00158,8721260273856,ชนน,วงศ์คำ,ชาย,2020-04-10,3603492326659,วนิดา,วงศ์คำ,ผู้ปกครองโดยชอบด้วยกฎหมาย,2020-05-10,2020-05-27,2020-05-27,2020-08-03,3,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,4500,หน่วยบริการเคลื่อนที่,ชลบุรี,บางละมุง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดชลบุรี
NCGPAY00173,NCG00173,3143859781531,อชิระ,พิทักษ์วงศ์,ชาย,2020-05-23,8044951151222,จักรพันธ์,ทองดี,มารดา,2020-06-28,2020-07-09,2020-07-09,2020-08-07,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,3,11750,เจ้าหน้าที่ช่วยลงทะเบียน,บุรีรัมย์,ศรีพัฒนา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดบุรีรัมย์
NCGPAY00159,NCG00159,1698987571443,ชยพล,รุ่งเรือง,หญิง,2020-03-16,5082134925681,ศุภลักษณ์,ประเสริฐศรี,มารดา,2020-07-10,2020-08-03,2020-08-03,2020-08-10,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,4500,หน่วยบริการเคลื่อนที่,นครสวรรค์,ศรีพัฒนา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครสวรรค์
NCGPAY00163,NCG00163,4399706834036,กัลยา,ยอดแก้ว,ชาย,2020-04-25,8406261415457,รัตนา,จำปาแก้ว,บิดา,2020-08-09,2020-08-16,2020-08-16,2020-09-03,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,6,7250,หน่วยบริการเคลื่อนที่,พิษณุโลก,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดพิษณุโลก
NCGPAY00162,NCG00162,1620065429781,อชิระ,สุขใจ,หญิง,2020-01-25,1744431001222,กัญญารัตน์,เรืองฤทธิ์,บิดา,2020-07-19,2020-08-16,2020-08-16,2020-09-07,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,6000,ระบบออนไลน์,นนทบุรี,บางบัวทอง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนนทบุรี
NCGPAY00093,NCG00093,2990806311485,อัครเดช,มีทรัพย์,ชาย,2020-04-27,1405711392683,พรทิพย์,นิ่มนวล,มารดา,2020-07-23,2020-08-07,2020-08-07,2020-09-08,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,9000,ระบบออนไลน์,จันทบุรี,เมือง,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดจันทบุรี
NCGPAY00310,NCG00159,1698987571443,ชยพล,รุ่งเรือง,หญิง,2020-03-16,5082134925681,ศุภลักษณ์,ประเสริฐศรี,มารดา,2020-07-10,2020-08-03,2020-08-03,2020-09-09,2,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,7,4500,หน่วยบริการเคลื่อนที่,นครสวรรค์,ศรีพัฒนา,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดนครสวรรค์
NCGPAY00254,NCG00254,7266682994163,วชิรวิทย์,ตั้งมั่น,ชาย,2020-06-14,6039680477966,ธิดารัตน์,ทองอินทร์,บิดา,2020-08-18,2020-09-07,2020-09-07,2020-09-17,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,15000,หน่วยบริการเคลื่อนที่,ปราจีนบุรี,ทุ่งสุข,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดปราจีนบุรี
NCGPAY00047,NCG00047,3621235436062,พีรวิชญ์,วงศ์คำ,หญิง,2020-07-08,8717661282487,พิมพ์ชนก,คงมั่น,มารดา,2020-08-29,2020-09-19,2020-09-19,2020-09-20,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,4,12000,ลงทะเบียน ณ หน่วยรับลงทะเบียน,สกลนคร,บ้านใหม่,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดสกลนคร
NCGPAY00138,NCG00138,8663551263876,ธิดารัตน์,พูนทรัพย์,หญิง,2020-02-25,7456596735218,ชนิดา,บุญส่ง,มารดา,2020-08-21,2020-09-19,2020-09-19,2020-09-21,1,600,จ่ายสำเร็จ,โอนเข้าบัญชีธนาคาร,5,9750,ระบบออนไลน์,เชียงใหม่,สันทราย,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดเชียงใหม่
